MC161_DMSO_10uM,,"MC71"/5:MC71,,"Focused Graph"-0.002:MC61_DMSO_10uM,,"Focused Graph"-0.0025:MC169_DMSO_10uM1,,"MC67_DMSO_10uM"+0.001:MC67_DMSO_10uM,,"MC147_DMSO_10uM"+0.0017:MC147_DMSO_10uM,,"MC152_DMSO_10uM"-0.0011:MC152_DMSO_10uM,,"MC155_DMSO_10uM"-0.0015:MC155_DMSO_10uM,,MC71_DMSO_10uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
731.0077515,0.0005307017127,630.9998169,0.0004493031302,731.0077515,-0.0007418816676,731.0077515,-0.0006619136548,731.0077515,0.0001929011778,731.0077515,-0.0003840409918,731.0077515,0.0004900796339,731.0077515,-0.0007342915051,730.9882813,0.00056957989,
730.0129395,0.0007398294983,630.0092163,0.000422620913,730.0129395,-0.0002646888606,730.0129395,0.0003624083474,730.0129395,0.0004286068142,730.0129395,0.0002804580145,730.0129395,0.0001559116645,730.0129395,-0.000536906824,729.9934692,0.00101609889,
729.0177612,0.0003951218969,629.0183105,0.0004287444171,729.0177612,-0.001008575666,729.0177612,-0.0002647507936,729.0177612,0.0005021876423,729.0177612,0.0001896978356,729.0177612,0.0003112897975,729.0177612,-0.0007062065997,728.9983521,0.0005814773031,
727.9866943,0.0005254923017,627.9904175,0.0003903821344,727.9866943,-0.0002272102283,727.9866943,0.0005405975971,727.9866943,0.0007207284798,727.9866943,0.001126435236,727.9866943,0.0004098839127,727.9866943,-0.0006010342622,728.0028076,0.001486064401,
726.9907837,0.0002882582485,626.9989624,0.000400866993,726.9907837,-0.0006058503641,726.9907837,-0.000212396495,726.9907837,0.0008012413164,726.9907837,0.000106487656,726.9907837,0.0006230702857,726.9907837,-0.0007294163224,727.006958,0.0006117796293,
725.9946289,0.000790733262,626.0072021,0.0003824880987,725.9946289,-0.0005042209523,725.9946289,-0.0007594388444,725.9946289,0.0003467673087,725.9946289,0.0001984686824,725.9946289,0.0007667345926,725.9946289,-0.0006060664891,726.0107422,0.000893414719,
724.9980469,0.0005679469323,625.0151978,0.0003919162846,724.9980469,-0.0002680415055,724.9980469,-0.0005988433259,724.9980469,0.0001070761355,724.9980469,-5.792593583E-006,724.9980469,0.0003119650064,724.9980469,-0.001251035137,725.0142212,0.001085148309,
724.0011597,0.0008148258203,623.986145,0.0003772882337,724.0011597,-0.0007713724626,724.0011597,-9.106169455E-005,724.0011597,-6.813823711E-005,724.0011597,0.0009704217664,724.0011597,0.0005973160733,724.0011597,-0.0002348201815,724.017334,0.0008054894861,
723.0038452,0.001188652124,622.9935913,0.0003744544229,723.0038452,-0.0002989678178,723.0038452,6.220373325E-005,723.0038452,0.0002639612067,723.0038452,0.0007518490893,723.0038452,8.172169328E-005,723.0038452,-0.0005390860606,722.9844971,0.000672183116,
722.0062866,0.0005601710873,622.0007935,0.0004293167149,722.0062866,-0.001161521301,722.0062866,-0.0007085995749,722.0062866,0.0001419001492,722.0062866,0.0005961767165,722.0062866,0.0007102197269,722.0062866,-0.001192106749,721.9868774,0.0002046250011,
